"time","x","y","z"
0,-13,-14,47
0.02,-12.6903366563341,-8.77553261496016,47.4198857960473
0.04,-11.5232818420802,-4.01322939561234,46.4601851755181
0.06,-9.79007211611822,-0.21844918080662,44.4752646632379
0.08,-7.78869157724213,2.44881573527801,41.9652084292811
0.1,-5.76440175486307,4.10387959758456,39.3488006271417
0.12,-3.8829751109728,4.99018315027538,36.8775892670296
0.14,-2.23363877575364,5.36251941828169,34.6558230864693
0.16,-0.847015389049981,5.43050762446693,32.696623176577
0.18,0.284392165606389,5.34578717571295,30.9714429716049
0.2,1.1893056382044,5.20948418170112,29.4406626544786
0.22,1.90585081045376,5.08506311515527,28.0682564840373
0.24,2.47416876012998,5.01016575133944,26.8267989987164
0.26,2.93226408975181,5.00570711624666,25.6977906816904
0.28,3.31400025881508,5.08232551641887,24.6702693663827
0.3,3.64842340826007,5.2447466673631,23.7391695135887
0.32,3.95984775950322,5.49460068074971,22.9040107043886
0.34,4.26832414401953,5.83209762263377,22.1680559269352
0.36,4.5902430345639,6.25683915032658,21.5378912331943
0.38,4.93890887728803,6.76794161688167,21.0233110937702
0.4,5.32497619440993,7.36356716625163,20.6373708072876
0.42,5.75666953107959,8.03990160626912,20.3964459804071
0.44,6.23972708107163,8.78958692712851,20.3200976495663
0.46,6.77702043870112,9.59962814359358,20.4304725519071
0.48,7.36782144607814,10.4488757868188,20.7508795104056
0.5,8.00672635416477,11.3053717678072,21.3031085119706
0.52,8.68232559743943,12.1241643826248,22.1030737951699
0.54,9.37584046211395,12.8466272214527,23.1545929652182
0.56,10.0601355280033,13.4027201933834,24.4417159498592
0.58,10.6997163628185,13.7176878420894,25.9210702991466
0.6,11.2524266033621,13.7239225025484,27.516988683125
0.62,11.6733959222286,13.3767687140817,29.1230249454719
0.64,11.9212099532293,12.6702373481512,30.6127276261942
0.66,11.965317128275,11.6464117280691,31.8594511023087
0.68,11.792738914319,10.3929096318768,32.760339785199
0.7,11.4118363650295,9.02710743197585,33.2561855813203
0.72,10.8516398055274,7.67202032492137,33.3396140756816
0.74,10.1568401335682,6.4327127992974,33.0492487268982
0.76,9.38011318963747,5.38112153821966,32.4538115647024
0.78,8.57414949484663,4.55228511059561,31.6334574140749
0.8,7.78537155999324,3.94984665326517,30.6646557038898
0.82,7.05029214446789,3.55617237556625,29.6114682909356
0.84,6.39444858748335,3.34277995029098,28.5228124020205
0.86,5.83323804458603,3.27856506946685,27.4336677472692
0.88,5.37381881365252,3.33508962533303,26.368081286486
0.9,5.01737367054556,3.48928014188044,25.3424738250096
0.92,4.76126788931237,3.72428476014912,24.3684985218148
0.94,4.60085752875456,4.02921879220237,23.4552353517773
0.96,4.53086401972508,4.39834287119094,22.6107866578088
0.98,4.54632525302125,4.83001026767136,21.8434380814919
1,4.64317586947899,5.32554945090034,21.1625492474665
1.02,4.81851778518192,5.88812459152871,20.579296684223
1.04,5.07063023557727,6.52153209823051,20.1073356463708
1.06,5.39874643234823,7.22883480749149,19.7633849918131
1.08,5.80259768158464,8.01070189097208,19.5676652927391
1.1,6.28170067002284,8.86331673859654,19.5440252017957
1.12,6.83434596048448,9.77575612796321,19.7194672438059
1.14,7.45624586606725,10.7268687819141,20.1226375058656
1.16,8.13883451036382,11.6819423008476,20.7807126057884
1.18,8.8673052952263,12.5898919991927,21.714100444267
1.2,9.6186442862573,13.3823188364533,22.9286494275098
1.22,10.3601745659437,13.9763833488513,24.4058700300246
1.24,11.049409618094,14.2835598492529,26.093150079053
1.26,11.6361649282021,14.2252452955908,27.8977980750503
1.28,12.0676413928453,13.753357024348,29.6898970442187
1.3,12.2963530752556,12.8700246307489,31.3176815194033
1.32,12.2894171098647,11.6376440277664,32.6344028077505
1.34,12.0364747638789,10.1721478508906,33.5289839605775
1.36,11.553303483008,8.61933315997126,33.9486833294151
1.38,10.8795178531929,7.12274702324179,33.9045762632552
1.4,10.0710764083193,5.79573065072742,33.4590581940733
1.42,9.19024799531978,4.7068360196832,32.7028775067363
1.44,8.29617998104688,3.88012847193417,31.731965178245
1.46,7.43827222689192,3.30558615910065,30.6312034886129
1.48,6.65305233394658,2.95294542189635,29.4670099895779
1.5,5.96403936553293,2.78403364582654,28.2868150299921
1.52,5.3835362053813,2.76139942197217,27.1222884961363
1.54,4.91529822718182,2.85315157721912,25.993714466702
1.56,4.55730862203728,3.03490796501411,24.9140203066153
1.58,4.30421885440846,3.28992981375154,23.8919013271225
1.6,4.14927154672517,3.60830966609168,22.9340295293375
1.62,4.08568577337534,3.98578290731241,22.0465605680039
1.64,4.10756662526594,4.42247562906423,21.2361911888676
1.66,4.21042803122097,4.92171694723422,20.5109765485856
